t,derivatives_futures_volume_daily_all_sum
2020-10-18,248161.24731042617
2020-10-19,603937.1452700191
2020-10-20,817196.580201329
2020-10-21,1541221.2977414187
2020-10-22,917159.163460869
2020-10-23,600883.781653589
2020-10-24,437702.5484669634
2020-10-25,553516.1794902177
2020-10-26,821613.3986363189
2020-10-27,1035308.8216619923
2020-10-28,1216872.5452154626
2020-10-29,917559.3267574882
2020-10-30,920376.2325113738
2020-10-31,889808.5740480154
2020-11-01,510627.6980401501
2020-11-02,872510.1877627767
2020-11-03,880347.1966354804
2020-11-04,1117675.405840863
2020-11-05,1704043.9151617528
2020-11-06,1398242.0109675056
2020-11-07,1198605.2242204107
2020-11-08,759206.3858807357
2020-11-09,1263087.4319268006
2020-11-10,665521.508544174
2020-11-11,782391.6077508412
2020-11-12,1190683.540589873
2020-11-13,790848.4828931246
2020-11-14,682582.3811623832
2020-11-15,543171.3813100281
2020-11-16,898892.3719315581
2020-11-17,1353425.647493465
